Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Bussey, Thomas J","
CHEM 6B - General Chemistry II (A)
",SP18,275,125,"
89.9 %
","
95.8 %
",7.19,"
B- (2.75)
","
C+ (2.40)
"
"Albizati, Kim F.","
CHEM 6B - General Chemistry II (B)
",SP18,257,118,"
81.0 %
","
79.8 %
",6.38,"
B- (2.97)
","
B- (2.76)
"
"Debelouchina, Galia T","
CHEM 6C - General Chemistry  III (A)
",SP18,250,214,"
96.7 %
","
98.1 %
",5.68,"
B (3.22)
","
B+ (3.33)
"
"Johnson, Christina A","
CHEM 6C - General Chemistry  III (B)
",SP18,319,159,"
85.4 %
","
92.6 %
",7.57,"
B- (2.98)
","
B- (2.78)
"
"Johnson, Christina A","
CHEM 6C - General Chemistry  III (C)
",SP18,361,163,"
85.4 %
","
88.3 %
",8,"
B- (2.94)
","
B- (2.78)
"
"Lam, Tin Yiu","
CHEM 6C - General Chemistry  III (D)
",SP18,410,198,"
88.1 %
","
94.7 %
",6.6,"
B (3.25)
","
B- (2.86)
"
"Kubiak, Clifford Paul","
CHEM 6CH - Honors General Chemistry III (A)
",SP18,72,37,"
86.1 %
","
80.6 %
",5.47,"
B+ (3.49)
","
B (3.23)
"
"Kim, Judy E.","
CHEM 7L - General Chemistry Laboratory (A)
",SP18,270,125,"
80.2 %
","
79.2 %
",7.13,"
B (3.19)
","
B (3.01)
"
"Kim, Judy E.","
CHEM 7L - General Chemistry Laboratory (B)
",SP18,270,107,"
80.0 %
","
82.0 %
",6.6,"
B+ (3.44)
","
B (3.01)
"
"Bussey, Thomas J","
CHEM 96 - Introductn to Teaching Science (A)
",SP18,23,13,"
100.0 %
","
100.0 %
",3.12,"
A (4.00)
","
A- (3.70)
"
"Pena, Ignacio Lopez","
CHEM 100A - Analytical Chemistry Lab (A)
",WI18,81,52,"
26.0 %
","
24.5 %
",12.38,"
B (3.20)
","
B- (2.84)
"
"Pomeroy, Robert S.","
CHEM 100B - Instrumental Chemistry Lab (A)
",WI18,23,12,"
75.0 %
","
91.7 %
",7.17,"
B- (2.92)
","
B- (2.87)
"
"Crowell, John E","
CHEM 105A - Physical Chemistry Laboratory (A)
",WI18,31,12,"
50.0 %
","
58.3 %
",9,"
B (3.08)
","
B (3.05)
"
"Crowell, John E","
CHEM 105A - Physical Chemistry Laboratory (B)
",WI18,12,5,"
60.0 %
","
80.0 %
",9.3,"
B+ (3.60)
","
N/A
"
"Crowell, John E","
CHEM 105B - Physical Chemistry Laboratory (A)
",WI18,7,3,"
66.7 %
","
100.0 %
",6.5,"
B+ (3.33)
","
N/A
"
"McHugh, Colleen A","
CHEM 109 - Recombinant DNA Laboratory (A)
",WI18,29,9,"
75.0 %
","
100.0 %
",11.5,"
B (3.22)
","
B- (2.98)
"
"Johnson, Christina A","
CHEM 109 - Recombinant DNA Laboratory (B)
",WI18,41,15,"
84.6 %
","
100.0 %
",12.81,"
B+ (3.31)
","
B (3.21)
"
"Thiemens, Mark H","
CHEM 111 - Origins of Life & the Universe (A)
",WI18,60,24,"
81.0 %
","
81.0 %
",4.4,"
B+ (3.45)
","
B- (2.94)
"
"Muller, Ulrich K.","
CHEM 114A - Biochemical Structure&Function (A)
",WI18,90,34,"
84.4 %
","
87.5 %
",6.19,"
B+ (3.41)
","
C+ (2.58)
"
"Komives, Elizabeth A","
CHEM 114B - Biochem Energetics&Metabolism (A)
",WI18,201,86,"
92.5 %
","
96.2 %
",6.7,"
B+ (3.33)
","
B+ (3.32)
"
"Huang, Xuemei","
CHEM 12 - Molecules and Reactions (A)
",WI18,73,35,"
72.7 %
","
84.8 %
",5.03,"
B (3.11)
","
B+ (3.33)
"
"Sailor, Michael Joseph","
CHEM 120B - Inorganic Chemistry II (A)
",WI18,122,54,"
94.0 %
","
98.0 %
",5.58,"
B+ (3.34)
","
B (3.21)
"
"Tezcan, Faik","
CHEM 125 - Bioinorganic Chemistry (A)
",WI18,16,8,"
75.0 %
","
100.0 %
",5.75,"
B- (2.75)
","
N/A
"
"Paesani, Francesco","
CHEM 126 - Physical Chem: Quantum Mech (A)
",WI18,163,69,"
82.1 %
","
98.5 %
",7.49,"
B- (2.94)
","
B- (2.83)
"
"Weare, John H.","
CHEM 131 - Chem Physics: Stat Thermo I (A)
",WI18,85,36,"
37.1 %
","
25.7 %
",5.81,"
B- (2.97)
","
B (3.08)
"
"Esko, Jeffrey D.","
CHEM 142 - Intro to Glycosciences (A)
",WI18,8,4,"
100.0 %
","
100.0 %
",5.17,"
B+ (3.33)
","
N/A
"
"Godula, Kamil","
CHEM 142 - Intro to Glycosciences (A)
",WI18,8,4,"
100.0 %
","
100.0 %
",5.17,"
B+ (3.33)
","
N/A
"
"Ternansky, Robert J.","
CHEM 143B - Organic Chemistry Lab II (A)
",WI18,94,47,"
79.1 %
","
79.1 %
",6.95,"
B (3.11)
","
B+ (3.41)
"
"Yang, Jerry","
CHEM 156 - Struct&Properties/Organc Molec (A)
",WI18,11,5,"
100.0 %
","
100.0 %
",6.5,"
B+ (3.60)
","
N/A
"
"Devaraj, Neal Krishna","
CHEM 168 - Drug Synthesis and Design (A)
",WI18,135,45,"
85.7 %
","
82.9 %
",5.14,"
B+ (3.45)
","
B (3.06)
"
"Pomeroy, Robert S.","
CHEM 172 - Environmental Chemistry II (A)
",WI18,63,27,"
92.0 %
","
95.8 %
",5.62,"
B- (2.81)
","
B- (2.80)
"
"Bussey, Thomas J","
CHEM 187 - Foundn of Teach&Learn Science (A)
",WI18,14,7,"
100.0 %
","
100.0 %
",4.5,"
B+ (3.67)
","
N/A
"
"Newsam, John","
CHEM 194 - Special Topics in Chemistry (A)
",WI18,12,8,"
87.5 %
","
100.0 %
",2.5,"
A (4.00)
","
N/A
"
"Bertrand, Guy","
CHEM 40A - Organic Chemistry I (A)
",WI18,362,196,"
93.6 %
","
98.4 %
",6.05,"
B+ (3.39)
","
B- (2.84)
"
"Albizati, Kim F.","
CHEM 40A - Organic Chemistry I (B)
",WI18,340,134,"
92.1 %
","
96.8 %
",7.17,"
B (3.02)
","
C+ (2.69)
"
"Ternansky, Robert J.","
CHEM 40B - Organic Chemistry II (A)
",WI18,110,69,"
78.8 %
","
92.3 %
",9.06,"
B- (2.84)
","
B- (2.73)
"
"Hoeger, Carl","
CHEM 40B - Organic Chemistry II (B)
",WI18,168,85,"
83.8 %
","
96.2 %
",8.7,"
B- (2.96)
","
B- (2.81)
"
"Schmidt, Valerie A","
CHEM 40B - Organic Chemistry II (C)
",WI18,361,327,"
86.5 %
","
95.7 %
",8.15,"
B (3.08)
","
B (3.16)
"
"Weizman, Haim","
CHEM 40B - Organic Chemistry II (D)
",WI18,272,139,"
83.5 %
","
91.7 %
",8.42,"
B- (2.90)
","
C+ (2.69)
"
"Weizman, Haim","
CHEM 40BH - Honors Organic Chemistry II (A)
",WI18,54,33,"
96.9 %
","
96.9 %
",7.81,"
B+ (3.44)
","
B+ (3.62)
"
"Godula, Kamil","
CHEM 40C - Organic Chemistry III (A)
",WI18,201,183,"
75.4 %
","
87.4 %
",8.23,"
B (3.01)
","
B- (2.80)
"
"Klosterman, Jeremy K","
CHEM 43A - Organic Chemistry Laboratory (A)
",WI18,202,121,"
73.6 %
","
59.8 %
",8.34,"
B (3.23)
","
B- (2.86)
"
"Klosterman, Jeremy K","
CHEM 43A - Organic Chemistry Laboratory (B)
",WI18,192,114,"
67.0 %
","
48.6 %
",8.44,"
B (3.08)
","
B- (2.86)
"
"Schimpf, Alina M","
CHEM 6A - General Chemistry I (A)
",WI18,413,318,"
94.6 %
","
91.7 %
",5.56,"
B (3.12)
","
C+ (2.33)
"
"Tezcan, Faik","
CHEM 6A - General Chemistry I (B)
",WI18,292,199,"
86.7 %
","
88.6 %
",5.77,"
B- (2.76)
","
C+ (2.35)
"
"Komor, Alexis C","
CHEM 6B - General Chemistry II (A)
",WI18,241,154,"
80.8 %
","
71.3 %
",6.3,"
B- (2.91)
","
C+ (2.53)
"
"Kummel, Andrew C","
CHEM 6B - General Chemistry II (B)
",WI18,142,81,"
84.4 %
","
79.2 %
",7.11,"
B (3.11)
","
B- (2.78)
"
"Hoeger, Carl","
CHEM 6B - General Chemistry II (D)
",WI18,306,216,"
84.1 %
","
78.2 %
",7.4,"
B- (2.87)
","
B- (2.91)
"
"Johnson, Christina A","
CHEM 6B - General Chemistry II (E)
",WI18,412,269,"
90.4 %
","
91.9 %
",8.16,"
B (3.10)
","
B (3.04)
"
"Crowell, John E","
CHEM 6B - General Chemistry II (F)
",WI18,167,98,"
75.8 %
","
61.8 %
",6.19,"
B (3.11)
","
B- (2.71)
"
"Lam, Tin Yiu","
CHEM 6B - General Chemistry II (G)
",WI18,380,240,"
90.1 %
","
93.7 %
",6.54,"
B+ (3.32)
","
B (3.07)
"
"Paesani, Francesco","
CHEM 6BH - Honors General Chemistry II (A)
",WI18,63,38,"
91.4 %
","
100.0 %
",6.33,"
B (3.29)
","
B+ (3.48)
"
"Ghosh, Partho","
CHEM 6C - General Chemistry  III (A)
",WI18,182,104,"
75.5 %
","
65.3 %
",7.07,"
B- (2.92)
","
C+ (2.31)
"
"Cohen, Seth M","
CHEM 7L - General Chemistry Laboratory (A)
",WI18,313,178,"
78.2 %
","
91.4 %
",6.18,"
B (3.27)
","
B (3.04)
"
"Cohen, Seth M","
CHEM 7L - General Chemistry Laboratory (B)
",WI18,279,154,"
78.8 %
","
92.4 %
",6.55,"
B+ (3.31)
","
B (3.04)
"
"Anderson, Qin-Hong","
CHIN 100AM - Third Yr Chinese/Heritage SpkI (A)
",FA18,17,16,"
93.8 %
","
100.0 %
",4.25,"
B+ (3.50)
","
N/A
"
"Xu, Li","
CHIN 100AN - Third Yr Chinese/Non-Native I (A)
",FA18,14,7,"
100.0 %
","
100.0 %
",6.79,"
A (4.00)
","
N/A
"
"Chen, Pei-Chia","
CHIN 10AD - First Yr Chinese/Dialect Spk I (A)
",FA18,25,15,"
100.0 %
","
100.0 %
",3.5,"
B+ (3.58)
","
B+ (3.60)
"
"Chen, Pei-Chia","
CHIN 10AD - First Yr Chinese/Dialect Spk I (B)
",FA18,19,9,"
100.0 %
","
100.0 %
",3.93,"
A- (3.75)
","
N/A
"
"Xu, Li","
CHIN 10AM - First Yr Chinese/Mandarin I (A)
",FA18,24,10,"
100.0 %
","
100.0 %
",5.5,"
A- (3.71)
","
A- (3.83)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (A)
",FA18,33,18,"
93.8 %
","
100.0 %
",7.88,"
B+ (3.36)
","
B (3.18)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (B)
",FA18,28,11,"
90.9 %
","
100.0 %
",5.77,"
A- (3.78)
","
B (3.18)
"
"Cha, Samuel","
CHIN 10AN - First Yr Chinese/Non-Native I (C)
",FA18,22,9,"
100.0 %
","
100.0 %
",7.75,"
A- (3.75)
","
B (3.18)
"
"Xu, Li","
CHIN 186A - Read/Chinese Econ,Pol,TradeI (A)
",FA18,10,9,"
100.0 %
","
100.0 %
",5.07,"
B+ (3.50)
","
N/A
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)
",FA18,27,15,"
64.3 %
","
64.3 %
",5.5,"
B+ (3.38)
","
A- (3.92)
"
"Wang, Xiao","
CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)
",FA18,27,9,"
88.9 %
","
88.9 %
",4.94,"
A- (3.88)
","
A- (3.92)
"
"Wang, Xiao","
CHIN 20AM - Second Yr Chinese-Mandarin I (A)
",FA18,38,13,"
84.6 %
","
69.2 %
",3.42,"
A- (3.80)
","
B+ (3.67)
"
"Anderson, Qin-Hong","
CHIN 20AN - Second Yr Chinese/Non-Native I (A)
",FA18,29,28,"
92.9 %
","
96.4 %
",5.98,"
B+ (3.62)
","
A- (3.76)
"
"Anderson, Qin-Hong","
CHIN 20AN - Second Yr Chinese/Non-Native I (B)
",FA18,23,19,"
100.0 %
","
100.0 %
",4.5,"
B+ (3.50)
","
A- (3.76)
"
"Xu, Li","
CHIN 100CN - Third Yr Chinese/Non-NativeIII (A)
",SP18,14,5,"
100.0 %
","
100.0 %
",6.1,"
A (4.00)
","
N/A
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (A)
",SP18,20,8,"
100.0 %
","
100.0 %
",5.07,"
A (4.00)
","
B+ (3.49)
"
"Chen, Pei-Chia","
CHIN 10CD - First Yr Chinese/Dialect III (B)
",SP18,21,9,"
100.0 %
","
100.0 %
",3.61,"
A- (3.78)
","
B+ (3.49)
"
"Xu, Li","
CHIN 10CM - First Yr Chinese/Mandarin III (A)
",SP18,26,10,"
100.0 %
","
100.0 %
",4.28,"
A (4.00)
","
A- (3.77)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (A)
",SP18,37,18,"
100.0 %
","
100.0 %
",6.38,"
B+ (3.58)
","
B+ (3.41)
"
"Cha, Samuel","
CHIN 10CN - First Yr Chinese/Non-NativeIII (B)
",SP18,29,10,"
88.9 %
","
100.0 %
",4.5,"
B+ (3.56)
","
B+ (3.41)
"
"Xu, Li","
CHIN 165A - Business Chinese (A)
",SP18,16,10,"
90.0 %
","
70.0 %
",4.1,"
B+ (3.63)
","
N/A
"
"Wang, Xiao","
CHIN 185A - Readngs/Chinese Cult & Society (A)
",SP18,13,6,"
100.0 %
","
100.0 %
",4.17,"
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 20CD - Second Yr Chinese-Dialect III (A)
",SP18,17,7,"
100.0 %
","
100.0 %
",2.79,"
A- (3.83)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 20CN - Second Yr Chinese/NonNativeIII (A)
",SP18,14,11,"
100.0 %
","
100.0 %
",4.68,"
A- (3.91)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 20CN - Second Yr Chinese/NonNativeIII (B)
",SP18,17,16,"
100.0 %
","
100.0 %
",3.63,"
A- (3.73)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 100BM - Third Yr Chinese/Heritage SpII (A)
",WI18,14,14,"
100.0 %
","
100.0 %
",4.36,"
A- (3.73)
","
N/A
"
"Xu, Li","
CHIN 100BN - Third Yr Chinese/Non-Native II (A)
",WI18,14,10,"
100.0 %
","
100.0 %
",3.5,"
A- (3.78)
","
N/A
"
"Chen, Pei-Chia","
CHIN 10BD - First Yr Chinese/Dialect Sp II (A)
",WI18,19,10,"
100.0 %
","
100.0 %
",5.5,"
A- (3.90)
","
N/A
"
"Chen, Pei-Chia","
CHIN 10BD - First Yr Chinese/Dialect Sp II (B)
",WI18,22,14,"
100.0 %
","
100.0 %
",5.21,"
B+ (3.67)
","
B+ (3.46)
"
"Xu, Li","
CHIN 10BM - First Yr Chinese/Mandarin II (A)
",WI18,26,15,"
93.3 %
","
93.3 %
",4.37,"
A (4.00)
","
A- (3.75)
"
"Cha, Samuel","
CHIN 10BN - First Yr Chinese/Non-Native II (A)
",WI18,34,17,"
93.8 %
","
93.8 %
",7.75,"
B+ (3.60)
","
B+ (3.53)
"
"Cha, Samuel","
CHIN 10BN - First Yr Chinese/Non-Native II (B)
",WI18,18,10,"
100.0 %
","
100.0 %
",7.7,"
B+ (3.56)
","
N/A
"
"Cha, Samuel","
CHIN 10BN - First Yr Chinese/Non-Native II (C)
",WI18,25,12,"
100.0 %
","
100.0 %
",5.95,"
A- (3.78)
","
B+ (3.53)
"
"Wang, Xiao","
CHIN 169A - Medical Chinese I (A)
",WI18,17,9,"
100.0 %
","
100.0 %
",2.28,"
A (4.00)
","
N/A
"
"Wang, Xiao","
CHIN 20BD - Second Yr Chinese-Dialect SpII (A)
",WI18,10,4,"
100.0 %
","
100.0 %
",2.5,"
A- (3.75)
","
N/A
"
"Wang, Xiao","
CHIN 20BM - Second Yr Chinese-Mandarin II (A)
",WI18,11,5,"
75.0 %
","
75.0 %
",6,"
A (4.00)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 20BN - Second Yr Chinese/Non-NativeII (A)
",WI18,18,17,"
100.0 %
","
100.0 %
",3.79,"
B+ (3.69)
","
N/A
"
"Anderson, Qin-Hong","
CHIN 20BN - Second Yr Chinese/Non-NativeII (B)
",WI18,20,18,"
100.0 %
","
100.0 %
",4.28,"
A- (3.75)
","
B+ (3.64)
"
"Boyle, Mary E. T.","
COGS 1 - Introduction to Cognitive Sci (A)
",FA18,469,426,"
90.4 %
","
92.0 %
",4.34,"
B+ (3.45)
","
B (3.16)
"
"Scott, Taylor Jackson","
COGS 10 - Cognitv Consequence/Technology (A)
",FA18,260,227,"
94.7 %
","
97.8 %
",3.82,"
A- (3.75)
","
B+ (3.69)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",FA18,139,126,"
79.4 %
","
85.7 %
",4.71,"
B (3.23)
","
B- (3.00)
"
"Momma, Shota","
COGS 101C - Language (A)
",FA18,241,103,"
96.0 %
","
98.0 %
",3.93,"
B+ (3.56)
","
B+ (3.58)
"
"Scott, Taylor Jackson","
COGS 102A - Distributed Cognition (A)
",FA18,146,128,"
83.6 %
","
97.7 %
",4.73,"
B+ (3.41)
","
B+ (3.42)
"
"Rangel, Lara M","
COGS 107A - Neuroanatomy and Physiology (A)
",FA18,201,99,"
90.8 %
","
99.0 %
",4.71,"
B+ (3.56)
","
B+ (3.63)
"
"Mukamel, Eran A","
COGS 109 - Modeling & Data Analysis (A)
",FA18,133,92,"
79.8 %
","
87.8 %
",7.85,"
B (3.23)
","
B (3.29)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA18,182,104,"
95.0 %
","
97.0 %
",5.09,"
B+ (3.45)
","
B+ (3.36)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA18,76,39,"
91.4 %
","
85.7 %
",4.96,"
B (3.24)
","
B (3.19)
"
"Tu, Zhuowen","
COGS 118A - Intro to Machine Learning I (A)
",FA18,154,59,"
83.0 %
","
75.5 %
",9.44,"
B+ (3.37)
","
B+ (3.51)
"
"De Sa, Virginia","
COGS 118B - Intro to Machine Learning II (A)
",FA18,121,34,"
75.8 %
","
87.9 %
",8.26,"
B+ (3.41)
","
A- (3.71)
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA18,36,22,"
90.0 %
","
85.0 %
",6.5,"
B+ (3.63)
","
B+ (3.41)
"
"Guo, Philip J","
COGS 120 - Interaction Design (A)
",FA18,150,72,"
95.3 %
","
100.0 %
",7.17,"
B+ (3.58)
","
A- (3.83)
"
"Guo, Philip J","
COGS 124 - HCI Technical Systems Research (A)
",FA18,32,21,"
100.0 %
","
100.0 %
",4.88,"
A- (3.95)
","
A- (3.93)
"
"Sanchez Amaro, Alejandro","
COGS 144 - Social Cognition (A)
",FA18,42,21,"
85.0 %
","
90.0 %
",3.9,"
B+ (3.55)
","
B (3.27)
"
"Kim, Seung Kyung","
COGS 14A - Intro. to Research Methods (A)
",FA18,162,135,"
80.6 %
","
82.8 %
",3.42,"
B+ (3.62)
","
B (3.27)
"
"Kim, Seung Kyung","
COGS 14B - Intro. to Statistical Analysis (A)
",FA18,64,52,"
71.2 %
","
65.4 %
",4.27,"
B (3.02)
","
B (3.04)
"
"Bergen, Benjamin","
COGS 15 - Uncensored Intro. to Language (A)
",FA18,115,78,"
100.0 %
","
100.0 %
",2.29,"
B+ (3.63)
","
B+ (3.39)
"
"Deak, Gedeon O.","
COGS 160 - Seminar on Special Topics (A)
",FA18,7,3,"
66.7 %
","
100.0 %
",7.17,"
A (4.00)
","
N/A
"
"Johnson, Christine M.","
COGS 17 - Neurobiology of Cognition (A)
",FA18,298,161,"
83.1 %
","
91.4 %
",6.28,"
B (3.25)
","
B- (2.84)
"
"Rangel, Lara M","
COGS 170 - Brain Waves Across Scales (A)
",FA18,54,44,"
100.0 %
","
100.0 %
",4.69,"
A- (3.76)
","
A- (3.91)
"
"Donoghue, Thomas","
COGS 18 - Introduction to Python (A)
",FA18,208,110,"
93.3 %
","
98.0 %
",5.95,"
B+ (3.62)
","
B+ (3.54)
"
"Kirsh, David Joel","
COGS 187A - Usability & Info. Architecture (A)
",FA18,73,46,"
92.9 %
","
90.5 %
",4.45,"
B+ (3.60)
","
B+ (3.59)
"
"Miller, Carson Grant","
COGS 3 - Introduction to Computing (A)
",FA18,163,109,"
87.5 %
","
88.3 %
",3.02,"
A- (3.78)
","
A- (3.79)
"
"Deak, Gedeon O.","
COGS 87 - Freshman Seminar (A)
",FA18,15,9,"
88.9 %
","
100.0 %
",0.5,"
B (3.00)
","
N/A
"
"Voytek, Bradley Thomas","
COGS 9 - Introduction to Data Science (A)
",FA18,404,152,"
91.0 %
","
95.1 %
",2.98,"
A- (3.74)
","
B+ (3.43)
"
"Meyer, Michael Wayne","
DSGN 1 - Design of Everyday Things (A)
",FA18,166,70,"
77.6 %
","
85.9 %
",7.07,"
B+ (3.42)
","
B+ (3.42)
"
"Hollan, James D.","
DSGN 119 - Design at Large (A)
",FA18,23,5,"
100.0 %
","
100.0 %
",2.1,"
B (3.00)
","
N/A
"
"Klemmer, Scott R","
DSGN 90 - Undergraduate Seminar (A)
",FA18,18,6,"
100.0 %
","
100.0 %
",0.5,"
N/A
","
N/A
"
"Klemmer, Scott R","
DSGN 90 - Undergraduate Seminar (B)
",FA18,7,3,"
100.0 %
","
100.0 %
",3.5,"
N/A
","
N/A
"
"Scott, Taylor Jackson","
COGS 10 - Cognitv Consequence/Technology (A)
",S218,47,43,"
95.2 %
","
97.6 %
",4.88,"
A- (3.80)
","
B+ (3.64)
"
"Davis, Joshua Daniel","
COGS 101B - Learning, Memory and Attention (A)
",S218,114,63,"
96.8 %
","
98.4 %
",4.98,"
B+ (3.50)
","
B+ (3.38)
"
"Johnson, Christine M.","
COGS 102A - Distributed Cognition (A)
",S218,49,13,"
58.3 %
","
45.5 %
",5.33,"
B- (2.73)
","
C+ (2.63)
"
"Semenuks, Arturs","
COGS 153 - Language Comprehension (A)
",S218,22,19,"
100.0 %
","
94.7 %
",6.5,"
B+ (3.47)
","
A- (3.76)
"
"Pineda, Jaime A","
COGS 171GS - Mirror Neuron System (A)
",S218,28,26,"
92.3 %
","
96.2 %
",5.42,"
A- (3.71)
","
B+ (3.67)
"
"Pineda, Jaime A","
COGS 174GS - Drugs: Brain, Mind and Culture (A)
",S218,28,26,"
96.2 %
","
96.2 %
",5.04,"
B+ (3.65)
","
A- (3.82)
"
"Boyle, Mary E. T.","
COGS 187A - Usability & Info. Architecture (A)
",S218,74,15,"
100.0 %
","
91.7 %
",4.83,"
A- (3.92)
","
A- (3.90)
"
"Gupta, Anjum","
COGS 188 - AI Algorithm & Social Language (A)
",S218,38,21,"
85.7 %
","
81.0 %
",6.3,"
B+ (3.35)
","
B (3.22)
"
"Boyle, Mary E. T.","
COGS 3 - Introduction to Computing (A)
",S218,36,13,"
70.0 %
","
80.0 %
",7.23,"
B+ (3.50)
","
B+ (3.52)
"
"Ngoon, Tricia","
DSGN 90 - Undergraduate Seminar (A)
",S218,21,6,"
83.3 %
","
80.0 %
",1.17,"
N/A
","
N/A
"
"Davis, Joshua Daniel","
COGS 101A - Sensation and Perception (A)
",S118,64,44,"
93.2 %
","
95.3 %
",5.82,"
B+ (3.56)
","
B+ (3.33)
"
"Coulson, Seana M","
COGS 101C - Language (A)
",S118,37,12,"
80.0 %
","
88.9 %
",4.67,"
B+ (3.50)
","
B+ (3.40)
"
"Boyle, Mary E. T.","
COGS 107A - Neuroanatomy and Physiology (A)
",S118,55,24,"
91.7 %
","
91.7 %
",8.92,"
B+ (3.33)
","
B+ (3.38)
"
"Bardolph, Megan Dalene","
COGS 109 - Modeling & Data Analysis (A)
",S118,65,27,"
81.5 %
","
96.2 %
",5.65,"
A- (3.73)
","
B+ (3.67)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",S118,19,18,"
100.0 %
","
100.0 %
",8.28,"
B+ (3.47)
","
N/A
"
"Barrera, Steven James","
COGS 14A - Intro. to Research Methods (A)
",S118,89,41,"
97.5 %
","
100.0 %
",5.28,"
B+ (3.35)
","
B (3.23)
"
"Gougelet, Robert Joseph","
COGS 14B - Intro. to Statistical Analysis (A)
",S118,26,14,"
64.3 %
","
46.2 %
",13.64,"
B+ (3.43)
","
N/A
"
"Yang, Dorothy Daw-Shin","
COGS 154 - Comm Disorders/Children&Adults (A)
",S118,44,37,"
97.3 %
","
94.6 %
",6.01,"
B+ (3.39)
","
B (3.07)
"
"Johnson, Christine M.","
COGS 17 - Neurobiology of Cognition (A)
",S118,46,22,"
86.4 %
","
95.5 %
",7.86,"
B (3.16)
","
B- (2.71)
"
"Pineda, Jaime A","
COGS 1 - Introduction to Cognitive Sci (A)
",SP18,410,141,"
90.2 %
","
90.2 %
",3.66,"
B+ (3.50)
","
B- (2.88)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",SP18,184,69,"
66.2 %
","
79.7 %
",3.69,"
B+ (3.36)
","
B+ (3.49)
"
"Scott, Taylor Jackson","
COGS 100 - Cyborgs Now and in the Future (A)
",SP18,183,166,"
72.7 %
","
90.2 %
",4.55,"
B (3.25)
","
B (3.22)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",SP18,399,314,"
94.8 %
","
94.4 %
",4.19,"
B+ (3.39)
","
B (3.01)
"
"Coulson, Seana M","
COGS 101C - Language (A)
",SP18,221,90,"
81.4 %
","
86.0 %
",5.18,"
B+ (3.30)
","
B (3.11)
"
"Scott, Taylor Jackson","
COGS 102C - Cognitive Design Studio (A)
",SP18,127,106,"
90.5 %
","
95.2 %
",9.15,"
B+ (3.69)
","
A- (3.85)
"
"Pineda, Jaime A","
COGS 107A - Neuroanatomy and Physiology (A)
",SP18,270,115,"
82.1 %
","
78.1 %
",5.71,"
B (3.12)
","
B- (2.83)
"
"Chiba, Andrea","
COGS 107C - Cognitive Neuroscience (A)
",SP18,239,110,"
89.3 %
","
92.2 %
",4.79,"
B+ (3.58)
","
A- (3.72)
"
"Boroditsky, Lera","
COGS 11 - Minds & Brains (A)
",SP18,116,42,"
95.0 %
","
97.5 %
",4.45,"
B+ (3.41)
","
B- (2.73)
"
"Mukamel, Eran A","
COGS 118C - Neural Signal Processing (A)
",SP18,43,21,"
100.0 %
","
100.0 %
",8.2,"
B+ (3.35)
","
A- (3.72)
"
"Guo, Philip J","
COGS 121 - Human Comptr Interac Prog Stud (A)
",SP18,128,63,"
98.3 %
","
98.3 %
",6.67,"
A- (3.73)
","
A- (3.81)
"
"Dow, Steven P","
COGS 123 - Social Computing (A)
",SP18,97,34,"
78.8 %
","
87.5 %
",5.89,"
B+ (3.44)
","
B+ (3.46)
"
"Rossano, Federico","
COGS 13 - Fld Methods: Cognition in Wild (A)
",SP18,493,196,"
75.9 %
","
84.5 %
",3.62,"
B+ (3.54)
","
B+ (3.51)
"
"Johnson, Christine M.","
COGS 143 - Animal Cognition (A)
",SP18,36,14,"
92.9 %
","
92.9 %
",5.5,"
B (3.25)
","
B+ (3.39)
"
"Barrera, Steven James","
COGS 14A - Intro. to Research Methods (A)
",SP18,165,76,"
96.0 %
","
100.0 %
",4.05,"
B+ (3.61)
","
B (3.20)
"
"Gougelet, Robert Joseph","
COGS 14B - Intro. to Statistical Analysis (A)
",SP18,141,61,"
53.4 %
","
41.1 %
",7.86,"
B+ (3.36)
","
B+ (3.50)
"
"Coulson, Seana M","
COGS 151 - Analogy and Conceptual Systems (A)
",SP18,41,13,"
72.7 %
","
90.9 %
",4.32,"
B+ (3.60)
","
B+ (3.45)
"
